User,Time,Coffee,Age,Images_Analyzed,Productivity
1,8,0,23,20,Good 
1,13,0,23,14,Bad
1,17,0,23,15,Bad
1,22,0,23,29,Good 
1,8,0,23,23,Good 
1,13,0,23,25,Good 
1,17,0,23,15,Bad
1,22,0,23,10,Bad
1,8,1,23,20,Good 
1,13,1,23,15,Bad
1,17,1,23,29,Good 
1,22,1,23,23,Good 
1,13,1,23,25,Good 
1,17,1,23,15,Bad
1,22,1,23,18,Bad
1,8,1,23,20,Good 
2,13,2,65,30,Good 
2,17,2,65,15,Bad
2,13,2,65,29,Good 
2,17,2,65,23,Good 
2,22,2,65,25,Good 
2,8,2,65,15,Bad
2,13,2,65,35,Good 
2,17,2,65,45,Good 
2,13,2,65,40,Good 
2,17,2,65,34,Good 
2,22,2,65,15,Bad
2,8,2,65,29,Good 
2,13,4,65,23,Good 
2,17,4,65,25,Good 
2,22,4,65,15,Bad
2,8,4,65,16,Bad
2,10,4,65,22,Good 
2,16,2,65,21,Good 
2,20,2,65,20,Good 
2,12,2,65,33,Good 
3,10,2,33,31,Good 
3,11,2,33,66,Good 
3,15,1,33,12,Bad
3,13,1,33,10,Bad
3,8,1,33,11,Bad
3,9,1,33,17,Bad
3,11,1,33,19,Bad
3,12,1,33,32,Good 
3,15,1,33,22,Good 
3,17,1,33,23,Good 
3,19,0,33,56,Good 
3,22,0,33,12,Bad
3,21,0,33,34,Good 
3,11,0,33,43,Good 
3,10,0,33,11,Bad
4,15,0,45,22,Good 
4,16,0,45,11,Bad
4,18,0,45,15,Bad
4,19,2,45,17,Bad
4,13,2,45,19,Bad
4,11,2,45,22,Good 
4,10,2,45,23,Good 
4,9,2,45,25,Good 
4,8,2,45,27,Good 
4,11,2,45,28,Good 
4,12,2,45,21,Good 
4,23,2,45,12,Bad
4,11,2,45,11,Bad
